date,new_infections
04.10.2021,26
03.10.2021,61
02.10.2021,105
01.10.2021,78
30.09.2021,101
29.09.2021,182
28.09.2021,110
27.09.2021,70
26.09.2021,55
25.09.2021,97
24.09.2021,109
23.09.2021,74
22.09.2021,147
21.09.2021,89
20.09.2021,97
19.09.2021,65
18.09.2021,97
17.09.2021,193
16.09.2021,92
15.09.2021,142
14.09.2021,138
13.09.2021,150
12.09.2021,120
11.09.2021,141
10.09.2021,186
09.09.2021,195
08.09.2021,183
07.09.2021,213
06.09.2021,126
05.09.2021,183
04.09.2021,183
03.09.2021,233
02.09.2021,195
01.09.2021,245
31.08.2021,233
30.08.2021,126
29.08.2021,179
28.08.2021,311
27.08.2021,291
26.08.2021,335
25.08.2021,200
24.08.2021,284
23.08.2021,228
22.08.2021,183
21.08.2021,295
20.08.2021,251
19.08.2021,253
18.08.2021,268
17.08.2021,202
16.08.2021,116
15.08.2021,129
14.08.2021,162
13.08.2021,187
12.08.2021,178
11.08.2021,124
10.08.2021,82
09.08.2021,82
08.08.2021,52
07.08.2021,118
06.08.2021,61
05.08.2021,113
04.08.2021,50
03.08.2021,97
02.08.2021,99
01.08.2021,19
31.07.2021,84
30.07.2021,50
29.07.2021,74
28.07.2021,65
27.07.2021,82
26.07.2021,18
25.07.2021,27
24.07.2021,56
23.07.2021,68
22.07.2021,81
21.07.2021,53
20.07.2021,40
19.07.2021,36
18.07.2021,24
17.07.2021,69
16.07.2021,34
15.07.2021,31
14.07.2021,45
13.07.2021,44
12.07.2021,28
11.07.2021,16
10.07.2021,30
09.07.2021,33
08.07.2021,25
07.07.2021,36
06.07.2021,22
05.07.2021,7
04.07.2021,19
03.07.2021,16
02.07.2021,14
01.07.2021,18
30.06.2021,25
29.06.2021,11
28.06.2021,21
27.06.2021,9
26.06.2021,14
25.06.2021,13
24.06.2021,20
23.06.2021,19
22.06.2021,12
21.06.2021,6
20.06.2021,12
19.06.2021,18
18.06.2021,20
17.06.2021,15
16.06.2021,22
15.06.2021,20
14.06.2021,23
13.06.2021,18
12.06.2021,18
11.06.2021,26
10.06.2021,50
09.06.2021,48
08.06.2021,52
07.06.2021,22
06.06.2021,18
05.06.2021,32
04.06.2021,35
03.06.2021,29
02.06.2021,74
01.06.2021,60
31.05.2021,48
30.05.2021,29
29.05.2021,74
28.05.2021,58
27.05.2021,94
26.05.2021,84
25.05.2021,44
24.05.2021,77
23.05.2021,55
22.05.2021,87
21.05.2021,154
20.05.2021,108
19.05.2021,111
18.05.2021,174
17.05.2021,57
16.05.2021,295
15.05.2021,208
14.05.2021,68
13.05.2021,122
12.05.2021,194
11.05.2021,170
10.05.2021,74
09.05.2021,188
08.05.2021,250
07.05.2021,206
06.05.2021,240
05.05.2021,312
04.05.2021,247
03.05.2021,184
02.05.2021,251
01.05.2021,416
30.04.2021,291
29.04.2021,292
28.04.2021,302
27.04.2021,228
26.04.2021,258
25.04.2021,315
24.04.2021,338
23.04.2021,412
22.04.2021,515
21.04.2021,435
20.04.2021,335
19.04.2021,309
18.04.2021,403
17.04.2021,324
16.04.2021,354
15.04.2021,244
14.04.2021,340
13.04.2021,302
12.04.2021,179
11.04.2021,350
10.04.2021,297
09.04.2021,214
08.04.2021,261
07.04.2021,265
06.04.2021,156
05.04.2021,213
04.04.2021,132
03.04.2021,261
02.04.2021,284
01.04.2021,258
31.03.2021,251
30.03.2021,224
29.03.2021,169
28.03.2021,127
27.03.2021,240
26.03.2021,204
25.03.2021,313
24.03.2021,235
23.03.2021,207
22.03.2021,170
21.03.2021,152
20.03.2021,184
19.03.2021,164
18.03.2021,162
17.03.2021,262
16.03.2021,131
15.03.2021,184
14.03.2021,88
13.03.2021,152
12.03.2021,174
11.03.2021,239
10.03.2021,173
09.03.2021,154
08.03.2021,106
07.03.2021,32
06.03.2021,99
05.03.2021,140
04.03.2021,111
03.03.2021,89
02.03.2021,131
01.03.2021,104
28.02.2021,92
27.02.2021,134
26.02.2021,128
25.02.2021,106
24.02.2021,148
23.02.2021,128
22.02.2021,55
21.02.2021,85
20.02.2021,111
19.02.2021,121
18.02.2021,112
17.02.2021,168
16.02.2021,69
15.02.2021,76
14.02.2021,84
13.02.2021,105
12.02.2021,114
11.02.2021,149
10.02.2021,108
09.02.2021,105
08.02.2021,85
07.02.2021,43
06.02.2021,125
05.02.2021,129
04.02.2021,209
03.02.2021,156
02.02.2021,93
01.02.2021,105
31.01.2021,97
30.01.2021,116
29.01.2021,196
28.01.2021,68
27.01.2021,149
26.01.2021,151
25.01.2021,98
24.01.2021,79
23.01.2021,86
22.01.2021,191
21.01.2021,148
20.01.2021,168
19.01.2021,221
18.01.2021,118
17.01.2021,88
16.01.2021,143
15.01.2021,170
14.01.2021,189
13.01.2021,193
12.01.2021,216
11.01.2021,141
10.01.2021,80
09.01.2021,175
08.01.2021,211
07.01.2021,217
06.01.2021,190
05.01.2021,262
04.01.2021,174
03.01.2021,69
02.01.2021,114
01.01.2021,98
31.12.2020,114
30.12.2020,219
29.12.2020,243
28.12.2020,166
27.12.2020,125
26.12.2020,109
25.12.2020,91
24.12.2020,225
23.12.2020,349
22.12.2020,273
21.12.2020,205
20.12.2020,158
19.12.2020,283
18.12.2020,305
17.12.2020,285
16.12.2020,298
15.12.2020,351
14.12.2020,185
13.12.2020,148
12.12.2020,185
11.12.2020,244
10.12.2020,201
09.12.2020,282
08.12.2020,270
07.12.2020,177
06.12.2020,76
05.12.2020,161
04.12.2020,245
03.12.2020,266
02.12.2020,244
01.12.2020,325
30.11.2020,146
29.11.2020,97
28.11.2020,211
27.11.2020,210
26.11.2020,214
25.11.2020,235
24.11.2020,314
23.11.2020,233
22.11.2020,61
21.11.2020,142
20.11.2020,416
19.11.2020,355
18.11.2020,278
17.11.2020,290
16.11.2020,230
15.11.2020,193
14.11.2020,244
13.11.2020,263
12.11.2020,440
11.11.2020,308
10.11.2020,296
09.11.2020,166
08.11.2020,264
07.11.2020,308
06.11.2020,371
05.11.2020,380
04.11.2020,396
03.11.2020,333
02.11.2020,224
01.11.2020,254
31.10.2020,278
30.10.2020,392
29.10.2020,447
28.10.2020,419
27.10.2020,436
26.10.2020,212
25.10.2020,271
24.10.2020,303
23.10.2020,379
22.10.2020,365
21.10.2020,320
20.10.2020,250
19.10.2020,149
18.10.2020,164
17.10.2020,164
16.10.2020,160
15.10.2020,204
14.10.2020,180
13.10.2020,131
12.10.2020,83
11.10.2020,95
10.10.2020,97
09.10.2020,123
08.10.2020,139
07.10.2020,151
06.10.2020,80
05.10.2020,60
04.10.2020,40
03.10.2020,62
02.10.2020,58
01.10.2020,88
30.09.2020,79
29.09.2020,64
28.09.2020,50
27.09.2020,35
26.09.2020,44
25.09.2020,82
24.09.2020,83
23.09.2020,52
22.09.2020,39
21.09.2020,44
20.09.2020,44
19.09.2020,28
18.09.2020,75
17.09.2020,77
16.09.2020,68
15.09.2020,62
14.09.2020,29
13.09.2020,41
12.09.2020,50
11.09.2020,58
10.09.2020,32
09.09.2020,54
08.09.2020,40
07.09.2020,14
06.09.2020,13
05.09.2020,21
04.09.2020,30
03.09.2020,44
02.09.2020,27
01.09.2020,20
31.08.2020,26
30.08.2020,33
29.08.2020,9
28.08.2020,37
27.08.2020,34
26.08.2020,24
25.08.2020,16
24.08.2020,25
23.08.2020,25
22.08.2020,11
21.08.2020,23
20.08.2020,23
19.08.2020,32
18.08.2020,25
17.08.2020,25
16.08.2020,13
15.08.2020,24
14.08.2020,31
13.08.2020,33
12.08.2020,32
11.08.2020,27
10.08.2020,21
09.08.2020,20
08.08.2020,21
07.08.2020,20
06.08.2020,9
05.08.2020,33
04.08.2020,22
03.08.2020,16
02.08.2020,22
01.08.2020,13
31.07.2020,13
30.07.2020,20
29.07.2020,18
28.07.2020,16
27.07.2020,8
26.07.2020,3
25.07.2020,19
24.07.2020,14
23.07.2020,12
22.07.2020,19
21.07.2020,12
20.07.2020,15
19.07.2020,3
18.07.2020,18
17.07.2020,22
16.07.2020,17
15.07.2020,28
14.07.2020,18
13.07.2020,6
12.07.2020,5
11.07.2020,9
10.07.2020,18
09.07.2020,19
08.07.2020,6
07.07.2020,11
06.07.2020,4
05.07.2020,1
04.07.2020,3
03.07.2020,6
02.07.2020,3
01.07.2020,4
30.06.2020,8
29.06.2020,2
28.06.2020,-
27.06.2020,-
26.06.2020,5
25.06.2020,6
24.06.2020,4
23.06.2020,2
22.06.2020,2
21.06.2020,2
20.06.2020,12
19.06.2020,7
18.06.2020,6
17.06.2020,6
16.06.2020,1
15.06.2020,5
14.06.2020,7
13.06.2020,6
12.06.2020,2
11.06.2020,6
10.06.2020,10
09.06.2020,5
08.06.2020,-
07.06.2020,2
06.06.2020,8
05.06.2020,7
04.06.2020,6
03.06.2020,3
02.06.2020,1
01.06.2020,-
31.05.2020,1
30.05.2020,-
29.05.2020,7
28.05.2020,5
27.05.2020,6
26.05.2020,4
25.05.2020,3
24.05.2020,-
23.05.2020,8
22.05.2020,1
21.05.2020,5
20.05.2020,3
19.05.2020,6
18.05.2020,3
17.05.2020,10
16.05.2020,3
15.05.2020,8
14.05.2020,5
13.05.2020,9
12.05.2020,11
11.05.2020,-
10.05.2020,1
09.05.2020,3
08.05.2020,15
07.05.2020,11
06.05.2020,8
05.05.2020,18
04.05.2020,3
03.05.2020,4
02.05.2020,7
01.05.2020,18
30.04.2020,18
29.04.2020,13
28.04.2020,9
27.04.2020,4
26.04.2020,7
25.04.2020,15
24.04.2020,11
23.04.2020,14
22.04.2020,20
21.04.2020,15
20.04.2020,7
19.04.2020,5
18.04.2020,8
17.04.2020,27
16.04.2020,27
15.04.2020,24
14.04.2020,17
13.04.2020,7
12.04.2020,30
11.04.2020,22
10.04.2020,29
09.04.2020,45
08.04.2020,68
07.04.2020,54
06.04.2020,40
05.04.2020,25
04.04.2020,19
03.04.2020,50
02.04.2020,70
01.04.2020,122
31.03.2020,89
30.03.2020,64
29.03.2020,56
28.03.2020,80
27.03.2020,83
26.03.2020,60
25.03.2020,77
24.03.2020,87
23.03.2020,48
22.03.2020,47
21.03.2020,60
20.03.2020,99
19.03.2020,105
18.03.2020,90
17.03.2020,100
16.03.2020,45
15.03.2020,35
14.03.2020,89
13.03.2020,48
12.03.2020,40
11.03.2020,8
10.03.2020,10
09.03.2020,10
08.03.2020,2
07.03.2020,1
06.03.2020,10
05.03.2020,6
04.03.2020,2
03.03.2020,6
02.03.2020,1
01.03.2020,2
29.02.2020,2
28.02.2020,-
27.02.2020,1
26.02.2020,-
25.02.2020,-
24.02.2020,-
23.02.2020,-
22.02.2020,-
21.02.2020,-
