date;cultural_venues;gastronomy;essential_retail;non-essential_retail;major_events;events_and_gatherings;public_gatherings;tourism;traveling;school_facilities;university_facilities;sport_facilities;medical_facilities;mouth_and_nose_covering;new_infections;traceability_no;traceability_yes;curfew_no;curfew_yes
2020-01-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-02;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-03;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-04;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-05;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-06;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-07;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-08;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-09;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-10;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-17;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-18;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-19;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-20;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-23;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-24;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-26;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-27;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
2020-01-28;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0
