date;cultural_venues;gastronomy;essential_retail;non-essential_retail;major_events;events_and_gatherings;public_gatherings;traceability;tourism;traveling;school_facilities;university_facilities;sport_facilities;medical_facilities;mouth_and_nose_covering;curfew;new_infections
2020-01-01;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-02;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-03;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-04;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-05;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-06;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-07;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-08;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-09;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-10;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-11;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-12;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-13;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-14;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-15;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-16;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-17;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-18;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-19;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-20;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-21;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-22;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-23;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-24;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-25;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-26;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-27;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
